McNeillID	RecapID	delT	SCL	delL	ChascoID	
597	2	1330	66	14.8	81
599	1	0	69.5	0	82
599	2	1804	74.6	5.1	82
609	1	0	51.4	0	83
609	2	1036	58	6.6	83
610	1	0	50.8	0	84
610	2	729	52.9	2.1	84
613	1	0	62.2	0	85
613	2	687	63.5	1.3	85
613	3	28	63.4	-0.1	85
615	1	0	56.3	0	86
615	2	98	57.9	1.6	86
615	3	224	58.4	0.5	86
615	4	732	66.2	7.8	86
618	1	0	60.8	0	87
618	2	345	62	1.2	87
618	3	751	62.2	0.2	87
618	4	370	65	2.8	87
620	1	0	60.6	0	88
620	2	52	61.8	1.2	88
620	3	791	68.7	6.9	88
620	4	3	68.8	0.1	88
620	5	340	70.7	1.9	88
620	6	99	70.8	0.1	88
621	1	0	61.6	0	89
621	2	1544	71.6	10	89
625	1	0	63.6	0	90
625	2	309	63.7	0.1	90
625	3	24	63.6	-0.1	90
625	4	364	65.1	1.5	90
625	5	435	69.2	4.1	90
633	1	0	67.3	0	91
633	2	707	71.4	4.1	91
637	1	0	70.3	0	92
637	2	4	70.3	0	92
638	1	0	66.6	0	93
638	2	1288	72.7	6.1	93
639	1	0	60.7	0	94
639	2	92	60.7	0	94
642	1	0	49.3	0	95
642	2	746	53.9	4.6	95
644	1	0	59.5	0	96
644	2	6	59.5	0	96
644	3	365	62.5	3	96
644	4	41	63.3	0.8	96
644	5	291	65.3	2	96
644	6	357	68.3	3	96
644	7	140	74.8	6.5	96
644	8	371	78.5	3.7	96
649	1	0	60	0	97
649	2	930	66.4	6.4	97
652	1	0	54.3	0	98
652	2	17	54.4	0.1	98
655	1	0	67.6	0	99
655	2	697	73.5	5.9	99
655	3	403	75.4	1.9	99
655	4	2173	84.5	9.1	99
656	1	0	57.1	0	100
656	2	1451	62.5	5.4	100
657	1	0	63.8	0	101
657	2	308	66.5	2.7	101
657	3	1156	73.9	7.4	101
657	4	1778	85.1	11.2	101
658	1	0	62.9	0	102
658	2	382	63.6	0.7	102
658	3	683	64.4	0.8	102
659	1	0	58.6	0	103
659	2	291	58.9	0.3	103
659	3	14	58.6	-0.3	103
659	4	14	59.1	0.5	103
659	5	357	62.8	3.7	103
659	6	378	65.5	2.7	103
659	7	336	68.3	2.8	103
659	8	368	71.3	3	103
659	9	24	71.8	0.5	103
671	1	0	65.2	0	104
671	2	6	68.9	3.7	104
672	1	0	62.7	0	105
672	2	372	65	2.3	105
680	1	0	63.2	0	106
680	2	1113	69.2	6	106
682	1	0	56.8	0	107
682	2	430	59.8	3	107
694	1	0	54	0	108
694	2	1351	64.2	10.2	108
696	1	0	46.5	0	109
696	2	353	51.1	4.6	109
706	1	0	49	0	110
706	2	358	52.6	3.6	110
708	1	0	65.2	0	111
708	2	1232	67.7	2.5	111
713	1	0	52.6	0	112
713	2	1082	63.5	10.9	112
713	3	14	63.4	-0.1	112
713	4	11	63.6	0.2	112
714	1	0	63.7	0	113
714	2	364	67.3	3.6	113
715	1	0	56.8	0	114
715	2	63	56.5	-0.3	114
720	1	0	60.3	0	115
720	2	713	65.4	5.1	115
720	3	5	65.3	-0.1	115
724	1	0	59.6	0	116
724	2	375	62.7	3.1	116
729	1	0	65.2	0	117
729	2	743	65.6	0.4	117
729	3	763	67	1.4	117
730	1	0	69.5	0	118
730	2	487	69.7	0.2	118
731	1	0	60	0	119
731	2	1029	63.9	3.9	119
740	1	0	55.7	0	120
740	2	343	63.1	7.4	120
742	1	0	61.6	0	121
742	2	1747	67.7	6.1	121
746	1	0	64.9	0	122
746	2	402	66.5	1.6	122
750	1	0	85.5	0	123
750	2	18	86	0.5	123
754	1	0	70.4	0	124
754	2	1207	73.5	3.1	124
756	1	0	59	0	125
756	2	360	59.2	0.2	125
756	3	32	59.2	0	125
756	4	35	59.1	-0.1	125
756	5	283	59.5	0.4	125
756	6	8	59.5	0	125
756	7	87	59.7	0.2	125
756	8	102	59.6	-0.1	125
767	1	0	56.3	0	126
767	2	305	58.3	2	126
772	1	0	69.2	0	127
772	2	752	72.8	3.6	127
773	1	0	59.2	0	128
773	2	378	61.6	2.4	128
775	1	0	55.5	0	129
775	2	770	64.8	9.3	129
775	3	641	69.4	4.6	129
778	1	0	64.9	0	130
778	2	319	64.9	0	130
778	3	73	65.7	0.8	130
778	4	310	67.5	1.8	130
778	5	383	71	3.5	130
785	1	0	55.4	0	131
785	2	361	57.5	2.1	131
785	3	399	62	4.5	131
785	4	318	64.7	2.7	131
785	5	725	74.3	9.6	131
786	1	0	57	0	132
786	2	1004	59.2	2.2	132
786	3	165	59.8	0.6	132
788	1	0	68.5	0	133
788	2	360	70.6	2.1	133
807	1	0	65.9	0	134
807	2	759	70.6	4.7	134
809	1	0	65.7	0	135
809	2	21	65.8	0.1	135
809	3	3	65.6	-0.2	135
810	1	0	71.1	0	136
810	2	2576	79.5	8.4	136
812	1	0	76.3	0	137
812	2	160	76.5	0.2	137
818	1	0	59.3	0	138
818	2	1499	68.6	9.3	138
822	1	0	54.9	0	139
822	2	900	64.2	9.3	139
824	1	0	64.1	0	140
824	2	308	64.9	0.8	140
824	3	35	64.9	0	140
824	4	23	65.5	0.6	140
824	5	345	67.9	2.4	140
824	6	14	68.2	0.3	140
824	7	308	70.5	2.3	140
824	8	52	72.4	1.9	140
828	1	0	61.2	0	141
828	2	506	66.2	5	141
828	3	13	66.2	0	141
828	4	8	65.7	-0.5	141
831	1	0	59.6	0	142
831	2	77	59.7	0.1	142
831	3	200	59.8	0.1	142
831	4	39	60.2	0.4	142
831	5	1445	69.1	8.9	142
833	1	0	65.8	0	143
833	2	198	65.8	0	143
834	1	0	50	0	144
834	2	1461	60.5	10.5	144
844	1	0	65	0	145
844	2	392	66.5	1.5	145
844	3	705	67.5	1	145
846	1	0	68.3	0	146
846	2	2154	71.5	3.2	146
861	1	0	73.2	0	147
861	2	749	75.5	2.3	147
861	3	732	76	0.5	147
