McNeillID	RecapID	delT	SCL	delL	ChascoID	
1632	6	32	58.7	0.9	325
1632	7	56	59.8	1.1	325
1632	8	237	60.1	0.3	325
1632	9	22	60.6	0.5	325
1632	10	28	60.7	0.1	325
1632	11	402	62.2	1.5	325
1632	12	669	64.1	1.9	325
1632	13	14	63.7	-0.4	325
1638	1	0	66.6	0	326
1638	2	84	65.7	-0.9	326
1647	1	0	60.8	0	327
1647	2	42	61	0.2	327
1652	1	0	68.7	0	328
1652	2	346	69.3	0.6	328
1652	3	32	68.5	-0.8	328
1652	4	66	68.8	0.3	328
1658	1	0	64.8	0	329
1658	2	18	64.3	-0.5	329
1667	1	0	60.8	0	330
1667	2	3	60.8	0	330
1681	1	0	70.5	0	331
1681	2	17	69.9	-0.6	331
1681	3	235	70.4	0.5	331
1681	4	332	70.4	0	331
1681	5	95	71	0.6	331
1682	1	0	60.9	0	332
1682	2	130	61.3	0.4	332
1688	1	0	55.7	0	333
1688	2	395	57.1	1.4	333
1691	1	0	56.8	0	334
1691	2	1143	58.2	1.4	334
1694	1	0	66.2	0	335
1694	2	10	65.6	-0.6	335
1694	3	7	65.8	0.2	335
1694	4	7	64.4	-1.4	335
1695	1	0	81.3	0	336
1695	2	33	81.6	0.3	336
1699	1	0	75	0	337
1699	2	30	75.1	0.1	337
1702	1	0	66.1	0	338
1702	2	10	65.7	-0.4	338
1711	1	0	66.6	0	339
1711	2	474	66.8	0.2	339
1712	1	0	57	0	340
1712	2	3	57.5	0.5	340
1715	1	0	53	0	341
1715	2	3	53	0	341
1717	1	0	64.3	0	342
1717	2	3	64.3	0	342
1717	3	3	64.5	0.2	342
1718	1	0	70.4	0	343
1718	2	245	70.3	-0.1	343
1720	1	0	67	0	344
1720	2	4	67.4	0.4	344
1720	3	3	67.3	-0.1	344
1724	1	0	64.1	0	345
1724	2	3	64.6	0.5	345
1724	3	599	65.2	0.6	345
1724	4	25	65	-0.2	345
1743	1	0	57.2	0	346
1743	2	73	57.1	-0.1	346
1748	1	0	73.3	0	347
1748	2	397	73.6	0.3	347
1748	3	1094	76.1	2.5	347
1748	4	329	75.3	-0.8	347
1748	5	21	76.1	0.8	347
1748	6	21	76.1	0	347
1751	1	0	61.7	0	348
1751	2	254	62.4	0.7	348
1756	1	0	97.2	0	349
1756	2	10	97.2	0	349
1759	1	0	69.1	0	350
1759	2	1835	79	9.9	350
1769	1	0	63.1	0	351
1769	2	10	63.8	0.7	351
1771	1	0	56.8	0	352
1771	2	228	56.8	0	352
1776	1	0	70.3	0	353
1776	2	767	71.3	1	353
1782	1	0	65.4	0	354
1782	2	28	65.9	0.5	354
1784	1	0	65.6	0	355
1784	2	274	65.8	0.2	355
1785	1	0	63.7	0	356
1785	2	17	63.6	-0.1	356
1785	3	6	63.9	0.3	356
1785	4	700	65.8	1.9	356
1785	5	343	67.2	1.4	356
1785	6	8	66.9	-0.3	356
1785	7	18	67.2	0.3	356
1789	1	0	62.7	0	357
1789	2	56	62.8	0.1	357
1793	1	0	54.9	0	358
1793	2	11	55.2	0.3	358
1795	1	0	70.9	0	359
1795	2	20	70.4	-0.5	359
1799	1	0	48.8	0	360
1799	2	418	50.9	2.1	360
1801	1	0	70.9	0	361
1801	2	7	71.4	0.5	361
1805	1	0	60.9	0	362
1805	2	80	59.7	-1.2	362
1805	3	242	60.4	0.7	362
1814	1	0	58	0	363
1814	2	300	57.7	-0.3	363
1817	1	0	54.5	0	364
1817	2	3	54.7	0.2	364
1817	3	56	55.4	0.7	364
1828	1	0	63.6	0	365
1828	2	127	63	-0.6	365
1830	1	0	58.1	0	366
1830	2	4	58.1	0	366
1834	1	0	63.6	0	367
1834	2	132	63.6	0	367
1841	1	0	48.4	0	368
1841	2	18	48.5	0.1	368
1841	3	7	48.9	0.4	368
1845	1	0	74.6	0	369
1845	2	17	74.9	0.3	369
1846	1	0	54.7	0	370
1846	2	7	54.2	-0.5	370
1846	3	3	54.3	0.1	370
1861	1	0	69.4	0	371
1861	2	455	69.7	0.3	371
1864	1	0	54.7	0	372
1864	2	578	56.2	1.5	372
1869	1	0	78.9	0	373
1869	2	24	79	0.1	373
1875	1	0	70.8	0	374
1875	2	17	71.2	0.4	374
1888	1	0	63	0	375
1888	2	1749	71.1	8.1	375
1889	1	0	73.9	0	376
1889	2	472	76	2.1	376
1889	3	12	74.1	-1.9	376
1889	4	204	76.1	2	376
1892	1	0	62.6	0	377
1892	2	764	64.8	2.2	377
1892	3	224	64.5	-0.3	377
1894	1	0	70.3	0	378
1894	2	85	70.6	0.3	378
1894	3	2	70.4	-0.2	378
1899	1	0	72.5	0	379
1899	2	14	71.9	-0.6	379
1899	3	108	74.1	2.2	379
1899	4	11	73.7	-0.4	379
1899	5	217	74.7	1	379
1899	6	119	77.2	2.5	379
1901	1	0	71.9	0	380
1901	2	3	72.3	0.4	380
1905	1	0	58.6	0	381
1905	2	371	59.5	0.9	381
1905	3	713	59.8	0.3	381
1908	1	0	68.8	0	382
1908	2	276	69	0.2	382
1914	1	0	67.1	0	383
1914	2	97	67.3	0.2	383
1915	1	0	63.5	0	384
1915	2	226	64.7	1.2	384
1942	1	0	70.1	0	385
1942	2	14	70.1	0	385
1946	1	0	66.5	0	386
1946	2	946	71.7	5.2	386
1955	1	0	62	0	387
1955	2	411	63.6	1.6	387
1964	1	0	62.9	0	388
1964	2	1120	66.5	3.6	388
1964	3	217	66.6	0.1	388
1964	4	7	66.9	0.3	388
1966	1	0	69.4	0	389
1966	2	1	79.8	10.4	389
1966	3	14	69.5	-10.3	389
1967	1	0	71.8	0	390
1967	2	138	65	-6.8	390
1967	3	360	66.7	1.7	390
1977	1	0	62.5	0	391
1977	2	63	61.9	-0.6	391
1983	1	0	54.6	0	392
1983	2	118	54.7	0.1	392
1985	1	0	56	0	393
1985	2	839	55.8	-0.2	393
1988	1	0	67	0	394
1988	2	1330	73.4	6.4	394
1996	1	0	57.5	0	395
1996	2	362	58.4	0.9	395
1997	1	0	65.2	0	396
1997	2	322	67	1.8	396
2004	1	0	68.1	0	397
2004	2	628	72.3	4.2	397
2012	1	0	70.5	0	398
2012	2	607	72.9	2.4	398
2012	3	122	72.5	-0.4	398
2013	1	0	61	0	399
2013	2	33	61.8	0.8	399
2017	1	0	60.7	0	400
2017	2	99	61.2	0.5	400
2017	3	286	61.8	0.6	400
2017	4	89	62.3	0.5	400
2018	1	0	54.8	0	401
2018	2	32	56.1	1.3	401
2018	3	1922	72.3	16.2	401
2020	1	0	51.7	0	402
2020	2	249	52.7	1	402
2024	1	0	60.5	0	403
2024	2	214	60.5	0	403
2024	3	32	60.6	0.1	403
2024	4	56	60.9	0.3	403
2026	1	0	57.6	0	404
2026	2	461	58.3	0.7	404
2035	1	0	57.5	0	405
2035	2	340	60.8	3.3	405
2035	3	153	62	1.2	405
2035	4	590	66	4	405
2035	5	14	66.2	0.2	405
2035	6	5	66	-0.2	405
2037	1	0	61.6	0	406
2037	2	1435	67.5	5.9	406
2040	1	0	59.1	0	407
2040	2	12	58.7	-0.4	407
2056	1	0	69.4	0	408
2056	2	563	70.2	0.8	408
2061	1	0	54.2	0	409
2061	2	94	54.1	-0.1	409
2067	1	0	51	0	410
2067	2	532	59	8	410
2078	1	0	53.7	0	411
2078	2	8	53.5	-0.2	411
2081	1	0	61.2	0	412
2081	2	32	61.7	0.5	412
2095	1	0	61	0	413
2095	2	595	63.5	2.5	413
2099	1	0	55.3	0	414
2099	2	11	55.3	0	414
2103	1	0	66.8	0	415
2103	2	7	66	-0.8	415
2107	1	0	61.9	0	416
2107	2	273	62.5	0.6	416
2109	1	0	61.9	0	417
2109	2	66	62.2	0.3	417
2116	1	0	57.7	0	418
2116	2	3	58.1	0.4	418
2116	3	32	57	-1.1	418
2122	1	0	59.7	0	419
2122	2	221	60.7	1	419
2122	3	2	60.5	-0.2	419
2126	1	0	74.5	0	420
2126	2	1841	75.5	1	420
2136	1	0	57.1	0	421
2136	2	12	57.8	0.7	421
2140	1	0	56.2	0	422
2140	2	305	57.1	0.9	422
2141	1	0	68.2	0	423
2141	2	350	70.3	2.1	423
2146	1	0	71.8	0	424
2146	2	59	71.8	0	424
2151	1	0	65.7	0	425
2151	2	26	66.8	1.1	425
2157	1	0	56.4	0	426
2157	2	433	57.9	1.5	426
2160	1	0	65.9	0	427
2160	2	21	65.6	-0.3	427
2163	1	0	62.2	0	428
2163	2	728	62.2	0	428
2164	1	0	66.9	0	429
2164	2	21	66.8	-0.1	429
2165	1	0	71.9	0	430
2165	2	12	72.7	0.8	430
2169	1	0	67.2	0	431
2169	2	16	68.1	0.9	431
2169	3	218	67.3	-0.8	431
2169	4	518	74	6.7	431
2180	1	0	63.9	0	432
2180	2	245	63.8	-0.1	432
2180	3	7	63.3	-0.5	432
2180	4	250	63	-0.3	432
2189	1	0	61.3	0	433
2189	2	102	61	-0.3	433
2189	3	20	61.4	0.4	433
2189	4	218	61.8	0.4	433
2196	1	0	63.4	0	434
2196	2	733	66.1	2.7	434
2200	1	0	67.9	0	435
2200	2	351	68.2	0.3	435
2201	1	0	70.3	0	436
2201	2	739	76.1	5.8	436
2219	1	0	79.8	0	437
2219	2	19	79.6	-0.2	437
2223	1	0	64.1	0	438
2223	2	949	67.5	3.4	438
2237	1	0	68.1	0	439
2237	2	303	69	0.9	439
2237	3	371	73.5	4.5	439
2238	1	0	62.5	0	440
2238	2	303	63.6	1.1	440
2242	1	0	67.6	0	441
2242	2	1520	75.7	8.1	441
2247	1	0	53.9	0	442
2247	2	1	54.3	0.4	442
2249	1	0	62.4	0	443
2249	2	215	62.2	-0.2	443
2249	3	375	64.3	2.1	443
2253	1	0	70.2	0	444
2253	2	601	72.3	2.1	444
2255	1	0	57.5	0	445
2255	2	470	63.6	6.1	445
2259	1	0	67	0	446
2259	2	88	67.8	0.8	446
2270	1	0	59.9	0	447
2270	2	2225	68.8	8.9	447
2271	1	0	71.8	0	448
2271	2	3	71.9	0.1	448
2271	3	1090	78	6.1	448
2274	1	0	83.8	0	449
2274	2	3	83.4	-0.4	449
2327	1	0	78.3	0	450
2327	2	13	78.3	0	450
2373	1	0	65.7	0	451
2373	2	1460	68.9	3.2	451
2378	1	0	66.4	0	452
2378	2	5643	96.5	30.1	452
2395	1	0	62.9	0	453
2395	2	125	60	-2.9	453
2401	1	0	80.4	0	454
2401	2	3	78.5	-1.9	454
2446	1	0	79.9	0	455
2446	2	723	80	0.1	455
2450	1	0	61.6	0	456
2450	2	1410	64.7	3.1	456
2452	1	0	64.5	0	457
2452	2	1285	65.1	0.6	457
2452	3	18	64.3	-0.8	457
2454	1	0	78.5	0	458
2454	2	14	78.2	-0.3	458
2454	3	207	77.7	-0.5	458
2465	1	0	67.1	0	459
2465	2	7	66.6	-0.5	459
2505	1	0	66.9	0	460
2505	2	1509	72.5	5.6	460
2524	1	0	59.6	0	461
2524	2	3	59.7	0.1	461
2567	1	0	61.6	0	462
2567	2	599	66.4	4.8	462
2606	1	0	55.8	0	463
2606	2	236	55.6	-0.2	463
2607	1	0	50.9	0	464
2607	2	557	54.6	3.7	464
2607	3	2599	67	12.4	464
2608	1	0	84.6	0	465
2608	2	2507	83.7	-0.9	465
2624	1	0	54.9	0	466
2624	2	38	53.9	-1	466
2634	1	0	55.3	0	467
2634	2	550	55.2	-0.1	467
2634	3	8	55.7	0.5	467
2634	4	33	55.3	-0.4	467
2634	5	322	55.8	0.5	467
2634	6	10	56.5	0.7	467
2634	7	67	57.6	1.1	467
2645	1	0	63.2	0	468
2645	2	6	63.3	0.1	468
2654	1	0	64.7	0	469
2654	2	748	70.6	5.9	469
2660	1	0	65.1	0	470
2660	2	3	65	-0.1	470
2684	1	0	57.4	0	471
2684	2	889	60.6	3.2	471
2687	1	0	71.7	0	472
2687	2	7	72.1	0.4	472
2697	1	0	55.3	0	473
2697	2	120	55.8	0.5	473
2724	1	0	59.4	0	474
2724	2	395	60.5	1.1	474
2724	3	3	59.8	-0.7	474
2738	1	0	57.4	0	475
2738	2	681	67.3	9.9	475
2758	1	0	57.5	0	476
2758	2	6	57.7	0.2	476
2785	1	0	60.3	0	477
2785	2	17	59.1	-1.2	477
2785	3	767	63.3	4.2	477
2815	1	0	64.9	0	478
2815	2	279	65.9	1	478
2845	1	0	71.5	0	479
2845	2	8	70.6	-0.9	479
2845	3	220	71.5	0.9	479
2845	4	144	72.3	0.8	479
2846	1	0	72.1	0	480
2846	2	225	73.4	1.3	480
2846	3	16	73.2	-0.2	480
